Timestamp,Poids (kg)
2025-03-23T00:21:52.536,-631.340
2025-03-23T00:21:52.552,-638.560
2025-03-23T00:21:52.568,-638.560
2025-03-23T00:21:52.584,-649.680
2025-03-23T00:21:52.600,-649.680
2025-03-23T00:21:52.616,-623.560
2025-03-23T00:21:52.632,-623.560
2025-03-23T00:21:52.648,-600.780
2025-03-23T00:21:52.664,-621.340
2025-03-23T00:21:52.680,-621.340
2025-03-23T00:21:52.696,-642.440
2025-03-23T00:21:52.712,-642.440
2025-03-23T00:21:52.728,-633.560
2025-03-23T00:21:52.744,-633.560
2025-03-23T00:21:52.760,-623.000
2025-03-23T00:21:52.776,-623.000
2025-03-23T00:21:52.792,-638.560
2025-03-23T00:21:52.808,-638.560
2025-03-23T00:21:52.824,-639.680
2025-03-23T00:21:52.840,-639.680
2025-03-23T00:21:52.855,-613.000
2025-03-23T00:21:52.871,-613.000
2025-03-23T00:21:52.888,-595.780
2025-03-23T00:21:52.903,-606.340
2025-03-23T00:21:52.919,-606.340
2025-03-23T00:21:52.935,-616.900
2025-03-23T00:21:52.951,-616.900
2025-03-23T00:21:52.967,-629.680
2025-03-23T00:21:52.983,-629.680
2025-03-23T00:21:52.999,-641.900
2025-03-23T00:21:53.015,-641.900
2025-03-23T00:21:53.031,-635.220
2025-03-23T00:21:53.047,-635.220
2025-03-23T00:21:53.063,-634.120
2025-03-23T00:21:53.079,-634.120
2025-03-23T00:21:53.096,-633.000
2025-03-23T00:21:53.111,-633.000
2025-03-23T00:21:53.127,-633.000
2025-03-23T00:21:53.143,-650.220
2025-03-23T00:21:53.159,-650.220
2025-03-23T00:21:53.175,-642.440
2025-03-23T00:21:53.192,-642.440
2025-03-23T00:21:53.207,-633.560
2025-03-23T00:21:53.223,-633.560
2025-03-23T00:21:53.239,-639.680
2025-03-23T00:21:53.256,-639.680
2025-03-23T00:21:53.287,-640.780
2025-03-23T00:21:53.319,-641.900
2025-03-23T00:21:53.335,-640.780
2025-03-23T00:21:53.351,-640.780
2025-03-23T00:21:53.367,-634.680
2025-03-23T00:21:53.383,-633.560
2025-03-23T00:21:53.399,-633.560
2025-03-23T00:21:53.415,-618.560
2025-03-23T00:21:53.431,-618.560
2025-03-23T00:21:53.447,-600.220
2025-03-23T00:21:53.463,-600.220
2025-03-23T00:21:53.479,-600.220
2025-03-23T00:21:53.495,-600.220
2025-03-23T00:21:53.511,-630.220
2025-03-23T00:21:53.527,-630.220
2025-03-23T00:21:53.543,653.820
2025-03-23T00:21:53.559,653.820
2025-03-23T00:21:53.575,652.720
2025-03-23T00:21:53.591,652.720
2025-03-23T00:21:53.607,-624.680
2025-03-23T00:21:53.623,-624.680
2025-03-23T00:21:53.639,-611.900
2025-03-23T00:21:53.655,-626.900
2025-03-23T00:21:53.671,-626.900
2025-03-23T00:21:53.687,-615.780
2025-03-23T00:21:53.703,-615.780
2025-03-23T00:21:53.719,-604.680
2025-03-23T00:21:53.735,-604.680
2025-03-23T00:21:53.751,-615.220
2025-03-23T00:21:53.767,-615.220
2025-03-23T00:21:53.783,-625.780
2025-03-23T00:21:53.799,-625.780
2025-03-23T00:21:53.815,-625.780
2025-03-23T00:21:53.831,-625.780
2025-03-23T00:21:53.847,-626.900
2025-03-23T00:21:53.863,-626.900
2025-03-23T00:21:53.879,-626.900
2025-03-23T00:21:53.895,-625.780
2025-03-23T00:21:53.911,-625.780
2025-03-23T00:21:53.927,-625.780
2025-03-23T00:21:53.943,-625.780
2025-03-23T00:21:53.959,-625.780
2025-03-23T00:21:53.975,-625.780
2025-03-23T00:21:53.991,-640.780
2025-03-23T00:21:54.007,-640.780
2025-03-23T00:21:54.023,-639.680
2025-03-23T00:21:54.039,-639.680
2025-03-23T00:21:54.055,-617.440
2025-03-23T00:21:54.071,-617.440
2025-03-23T00:21:54.087,-609.120
2025-03-23T00:21:54.103,-609.120
2025-03-23T00:21:54.119,-620.220
2025-03-23T00:21:54.135,-619.120
2025-03-23T00:21:54.151,-619.120
2025-03-23T00:21:54.167,-618.000
2025-03-23T00:21:54.183,-618.000
